[23:12:27]info: Icon loaded.
[23:12:27]info: Sprite created.
[23:12:27]info: LUA IS FINE!
[23:12:27]info: Text created.
[23:12:27]info: Audio is ok.
[23:12:28]trace: UPS/FPS: 59/59 | Seconds running = 1s
[23:12:29]trace: UPS/FPS: 60/60 | Seconds running = 2s
[23:12:30]trace: UPS/FPS: 60/60 | Seconds running = 3s
[23:12:31]trace: UPS/FPS: 60/60 | Seconds running = 4s
[23:12:32]trace: UPS/FPS: 60/60 | Seconds running = 5s
[23:12:33]trace: UPS/FPS: 60/60 | Seconds running = 6s
[23:12:34]trace: UPS/FPS: 60/60 | Seconds running = 7s
[23:12:35]trace: UPS/FPS: 60/60 | Seconds running = 8s
[23:12:36]trace: UPS/FPS: 60/60 | Seconds running = 9s
[23:12:37]trace: UPS/FPS: 60/60 | Seconds running = 10s
[23:12:38]trace: UPS/FPS: 33/33 | Seconds running = 11s
[23:12:39]trace: UPS/FPS: 59/59 | Seconds running = 12s
[23:12:40]trace: UPS/FPS: 60/60 | Seconds running = 13s
[23:12:41]trace: UPS/FPS: 60/60 | Seconds running = 14s
[23:12:42]trace: UPS/FPS: 60/60 | Seconds running = 15s
[23:12:43]trace: UPS/FPS: 60/60 | Seconds running = 16s
[23:12:44]trace: UPS/FPS: 60/60 | Seconds running = 17s
[23:12:45]trace: UPS/FPS: 60/60 | Seconds running = 18s
[23:12:46]trace: UPS/FPS: 60/60 | Seconds running = 19s
[23:12:47]trace: UPS/FPS: 60/60 | Seconds running = 20s
[23:12:48]trace: UPS/FPS: 60/60 | Seconds running = 21s
[23:12:49]trace: UPS/FPS: 60/60 | Seconds running = 22s
[23:12:50]trace: UPS/FPS: 60/60 | Seconds running = 23s
[23:12:51]trace: UPS/FPS: 60/60 | Seconds running = 24s
[23:12:52]trace: UPS/FPS: 60/60 | Seconds running = 25s
[23:12:53]trace: UPS/FPS: 60/60 | Seconds running = 26s
[23:12:54]trace: UPS/FPS: 60/60 | Seconds running = 27s
[23:12:55]trace: UPS/FPS: 60/60 | Seconds running = 28s
[23:12:56]trace: UPS/FPS: 60/60 | Seconds running = 29s
[23:12:57]trace: UPS/FPS: 60/60 | Seconds running = 30s
[23:12:58]trace: UPS/FPS: 60/60 | Seconds running = 31s
[23:12:59]trace: UPS/FPS: 60/60 | Seconds running = 32s
[23:13:00]trace: UPS/FPS: 60/60 | Seconds running = 33s
[23:13:01]trace: UPS/FPS: 60/60 | Seconds running = 34s
[23:13:02]trace: UPS/FPS: 60/60 | Seconds running = 35s
[23:13:03]trace: UPS/FPS: 60/60 | Seconds running = 36s
[23:13:04]trace: UPS/FPS: 60/60 | Seconds running = 37s
[23:13:05]trace: UPS/FPS: 60/60 | Seconds running = 38s
[23:13:06]trace: UPS/FPS: 60/60 | Seconds running = 39s
